unit,ptq_w4,ptq_w8,codebook_w4,codebook_w8
transformer_block_6,0.0400000000000067,-0.0199999999999977,0.0500000000000055,0.0600000000000044
transformer_block_3,0.0300000000000077,-0.0199999999999977,-0.0499999999999944,0.0300000000000077
transformer_block_11,0.0200000000000089,-0.0499999999999944,0.0,-0.0399999999999955
classifier,0.0099999999999988,-0.0199999999999977,-0.0699999999999922,-0.0299999999999966
transformer_block_9,-0.0099999999999988,-0.0599999999999933,0.0200000000000089,-0.0499999999999944
transformer_block_1,-0.1499999999999945,-0.0099999999999988,0.2000000000000001,-0.0599999999999933
input_embedding,-0.1799999999999912,-0.0199999999999977,-0.1799999999999912,0.0
