module,ptq_w4,ptq_w8,codebook_w4,codebook_w8
input_embedding,-0.17999999999999119,-0.0199999999999977,-0.17999999999999119,0
transformer_block_1,-0.1499999999999945,-0.0099999999999987998,0.20000000000000009,-0.059999999999993302
transformer_block_3,0.030000000000007701,-0.0199999999999977,-0.049999999999994403,0.030000000000007701
transformer_block_6,0.040000000000006697,-0.0199999999999977,0.050000000000005498,0.060000000000004397
transformer_block_9,-0.0099999999999987998,-0.059999999999993302,0.0200000000000089,-0.049999999999994403
transformer_block_11,0.0200000000000089,-0.049999999999994403,0,-0.039999999999995497
classifier,0.0099999999999987998,-0.0199999999999977,-0.069999999999992193,-0.029999999999996599
